step,loss
1431,0.00017
1432,0.00111
1433,0.00015
1434,0.0002
1435,0.00014
1436,0.0001
1437,0.00012
1438,0.0001
1439,0.00011
1440,0.00013
1441,0.00017
1442,0.00017
1443,0.00011
1444,0.00041
1445,0.00029
1446,0.00017
1447,0.00013
1448,0.00028
1449,0.00015
1450,0.0002
1451,0.00027
1452,0.00048
1453,0.00015
1454,0.0001
1455,0.00037
1456,0.00012
1457,9e-05
1458,0.00014
1459,0.0004
1460,0.00029
1461,7e-05
1462,0.00012
1463,0.00013
1464,0.00054
1465,0.00029
1466,0.00019
1467,0.00086
1468,8e-05
1469,0.0001
1470,0.0001
1471,0.00022
1472,0.00021
1473,0.00011
1474,0.00019
1475,0.00034
1476,0.00017
1477,0.00088
1478,0.00023
1479,0.00074
1480,0.00022
1481,0.00017
1482,9e-05
1483,0.00016
1484,0.00018
1485,0.00022
1486,0.00026
1487,0.00013
1488,0.00019
1489,0.00022
1490,0.00015
1491,0.00011
1492,0.00011
1493,9e-05
1494,0.00028
1495,0.00034
1496,0.00014
1497,8e-05
1498,0.00015
1499,0.0003
1500,0.0001
1501,9e-05
1502,0.00042
1503,0.00016
1504,0.00013
1505,8e-05
1506,0.00014
1507,0.0002
1508,0.00021
1509,0.00014
1510,0.00027
1511,0.00014
1512,9e-05
1513,0.00027
1514,0.00013
1515,0.00024
1516,0.00037
1517,0.00022
1518,0.0002
1519,0.00012
1520,0.00015
1521,0.1018
1522,0.00012
1523,0.00015
1524,0.00016
1525,0.00013
1526,0.00061
1527,0.00015
1528,0.00017
1529,9e-05
1530,0.00017
1531,0.00075
1532,0.00035
1533,0.00013
1534,0.00015
1535,0.00049
1536,0.0002
1537,0.00024
1538,0.00044
1539,0.00017
1540,0.00026
1541,9e-05
1542,0.0001
1543,0.0003
1544,0.00017
1545,0.00018
1546,0.0001
1547,0.00016
1548,0.00053
1549,0.00029
1550,0.00027
1551,0.00024
1552,0.00055
1553,0.00056
1554,0.00018
1555,0.00017
1556,0.00041
1557,0.00019
1558,0.00027
1559,0.0105
1560,0.00024
1561,0.00018
1562,0.00022
1563,0.00013
1564,0.00025
1565,0.07932
1566,0.00012
1567,0.00089
1568,0.0001
1569,0.00012
1570,0.00013
1571,0.00033
1572,0.00042
1573,0.00012
1574,0.0001
1575,0.00019
1576,0.00024
1577,0.00025
1578,0.00024
1579,0.00023
1580,0.00015
1581,7e-05
1582,0.00031
1583,9e-05
1584,0.0002
1585,0.00032
1586,0.00031
1587,0.00027
1588,0.00015
1589,0.00013
1590,0.00057
1591,0.00034
1592,0.00018
1593,0.00011
1594,0.0002
1595,0.0001
1596,0.00014
1597,0.00019
1598,0.00021
1599,0.00017
1600,0.03392
1601,0.00018
1602,0.00017
1603,0.00043
1604,0.00022
1605,0.00029
1606,0.00011
1607,0.00018
1608,0.00031
1609,8e-05
1610,0.00021
1611,0.00032
1612,0.00016
1613,0.00014
1614,0.00025
1615,0.00053
1616,0.00011
1617,0.00013
1618,0.00015
1619,0.00045
1620,0.00015
1621,0.00055
1622,0.00012
1623,0.00024
1624,0.00021
1625,0.00242
1626,0.00026
1627,0.00017
1628,0.00012
1629,0.00016
1630,0.00023
1631,0.00031
1632,0.00024
1633,0.00011
1634,0.00036
1635,0.00022
1636,0.00014
1637,0.00104
1638,0.00023
1639,0.00041
1640,0.0003
1641,0.00021
1642,0.00035
1643,0.00017
1644,0.00011
1645,0.00015
1646,7e-05
1647,8e-05
1648,0.00018
1649,0.00062
1650,0.00013
1651,0.00032
1652,0.00012
1653,0.00012
1654,0.00013
1655,0.0003
1656,6e-05
1657,0.0001
1658,0.0002
1659,0.00016
1660,0.00041
1661,0.0001
1662,0.00017
1663,0.00028
1664,0.0003
1665,0.00031
1666,0.00036
1667,0.00013
1668,0.00039
1669,0.00068
1670,0.00013
1671,0.00049
1672,0.00017
1673,0.00012
1674,0.0003
1675,0.00015
1676,0.00018
1677,0.0001
1678,0.00014
1679,0.00016
1680,0.00025
1681,0.00019
1682,0.00011
1683,0.00014
1684,0.00012
1685,0.00015
1686,0.00016
1687,0.00021
1688,0.00014
1689,0.00013
1690,0.00031
1691,0.00053
1692,0.0001
1693,0.00033
1694,0.00037
1695,0.00039
1696,0.00016
1697,0.00012
1698,0.0001
1699,0.00027
1700,0.00244
1701,0.00025
1702,0.0004
1703,0.00013
1704,0.00014
1705,0.00025
1706,0.00021
1707,0.00017
1708,0.00032
1709,0.00031
1710,0.00091
1711,0.00026
1712,0.00024
1713,0.00011
1714,0.00011
1715,0.0002
1716,0.00065
1717,0.00022
1718,0.00012
1719,0.00016
1720,8e-05
1721,9e-05
1722,0.00032
1723,0.00028
1724,0.00034
1725,0.00018
1726,0.00014
1727,0.00029
1728,0.0001
1729,0.00035
1730,0.00012
1731,0.00018
1732,0.0003
1733,0.00016
1734,9e-05
1735,0.00022
1736,0.00012
1737,0.0001
1738,0.00022
1739,0.00026
1740,9e-05
1741,0.00011
1742,0.0001
1743,0.00016
1744,0.00025
1745,0.00029
1746,9e-05
1747,0.00022
1748,0.00023
1749,0.0001
1750,0.00012
1751,0.00027
1752,0.00019
1753,8e-05
1754,0.00022
1755,7e-05
1756,0.00017
1757,0.00018
1758,0.00011
1759,0.0002
1760,0.00011
1761,0.0002
1762,0.00018
1763,0.00027
1764,0.0002
1765,9e-05
1766,0.00011
1767,0.00027
1768,7e-05
1769,0.00013
1770,0.00025
1771,0.00052
1772,0.00014
1773,0.00029
1774,0.00018
1775,0.00019
1776,9e-05
1777,0.00015
1778,9e-05
1779,0.00029
1780,0.0004
1781,0.00011
1782,0.00034
1783,0.00013
1784,0.00023
1785,0.0001
1786,0.00048
1787,0.00013
1788,0.00017
1789,0.00032
1790,0.00012
1791,0.00029
1792,0.0001
1793,0.0001
1794,0.00027
1795,7e-05
1796,7e-05
1797,0.00032
1798,0.00015
1799,0.00011
1800,0.00027
1801,0.00022
1802,8e-05
1803,0.00014
1804,0.00022
1805,0.00028
1806,0.00016
1807,0.00015
1808,0.00028
1809,0.00011
1810,8e-05
1811,8e-05
1812,0.00038
1813,0.00016
1814,0.00014
1815,0.0001
1816,0.00012
1817,0.0003
1818,0.00012
1819,0.00016
1820,0.00018
1821,0.00036
1822,0.0002
1823,0.00036
1824,0.00024
1825,8e-05
1826,0.00051
1827,0.00036
1828,0.00012
1829,0.00033
1830,0.00016
1831,0.00034
1832,0.00028
1833,9e-05
1834,0.00039
1835,0.00026
1836,0.00023
1837,0.00014
1838,0.00013
1839,0.00027
1840,0.00018
1841,0.00011
1842,0.0001
1843,0.0002
1844,0.00015
1845,0.00012
1846,7e-05
1847,0.00036
1848,0.00017
1849,8e-05
1850,0.00012
1851,9e-05
1852,9e-05
1853,0.00027
1854,0.0001
1855,0.00016
1856,0.00029
1857,0.00052
1858,0.00019
1859,0.00012
1860,0.00018
1861,0.00013
1862,0.00017
1863,0.00034
1864,0.0005
1865,0.00019
1866,0.00032
1867,0.00032
1868,0.0005
1869,0.00011
1870,0.0003
1871,0.00024
